Clients amount, Running time
10, 524.6
15, 745.1333333333332
20, 877.1
25, 1066.6000000000001
30, 1392.6333333333334
35, 1484.742857142857
40, 1685.0500000000004
45, 1862.4666666666667
50, 1984.0599999999997
55, 2249.145454545455
60, 2387.0
65, 2458.7076923076916
70, 2699.7000000000003
75, 3120.6266666666656
80, 3638.5499999999997
85, 3303.2941176470595
90, 3430.377777777779
95, 3840.6210526315776
100, 4093.9100000000003
