Array size, Query time
1000, 2.5365
1500, 4.6735
2000, 6.7155
2500, 7.454
3000, 12.654
3500, 11.373
4000, 18.268
4500, 18.2825
5000, 15.6345
5500, 21.094
6000, 43.0925
6500, 44.139
7000, 54.275
7500, 66.985
8000, 112.194
8500, 138.623
9000, 184.4115
9500, 261.5275
10000, 350.6845
