Array size, Server overhead
1000, -2.177
1500, -3.9535
2000, -5.279999999999999
2500, -5.5649999999999995
3000, -9.461
3500, -6.722499999999999
4000, -11.3665
4500, -6.994999999999999
5000, -4.952
5500, -5.008000000000003
6000, -17.589000000000002
6500, -8.011500000000005
7000, -9.100499999999997
7500, -9.768999999999998
8000, -11.597000000000008
8500, -12.063999999999993
9000, -15.37299999999999
9500, -21.268999999999977
10000, -24.883500000000026
