Clients amount, Client time
10, 7.18
15, 7.42
20, 7.075
25, 7.156
30, 7.0633333333333335
35, 7.16
40, 7.3175
45, 7.4688888888888885
50, 7.104
55, 7.2327272727272724
60, 7.261666666666667
65, 7.135384615384615
70, 7.241428571428571
75, 7.392
80, 7.14375
85, 7.134117647058823
90, 7.2
95, 7.261052631578948
100, 7.226
