Delay, Running time
2, 3663.0999999999995
7, 3530.82
12, 3534.9799999999996
17, 3546.72
22, 3508.8599999999997
27, 3563.16
32, 3527.4199999999996
37, 3504.3599999999997
42, 3608.66
47, 3507.28
52, 3590.2999999999997
57, 3547.8199999999997
62, 3553.2799999999997
67, 3545.34
72, 3599.9399999999996
77, 3601.8199999999997
82, 3606.36
87, 3542.3200000000006
92, 3584.92
97, 3558.6
