Array size, Running time
1000, 1172.3000000000009
1500, 1378.25
2000, 2532.61
2500, 2481.44
3000, 2640.980000000001
3500, 3573.9799999999996
4000, 3881.990000000001
4500, 3770.9399999999987
5000, 3172.09
5500, 4318.259999999999
6000, 3421.8999999999996
6500, 3695.570000000001
7000, 4227.4800000000005
7500, 4514.539999999999
8000, 5012.419999999998
8500, 5236.280000000002
9000, 5804.880000000002
9500, 6117.48
10000, 6951.400000000002
