Clients amount, Running time
10, 637.5
15, 704.4
20, 818.15
25, 1062.0400000000002
30, 1110.4333333333334
35, 1156.057142857143
40, 1180.025
45, 1280.0666666666666
50, 1402.5199999999995
55, 1507.272727272727
60, 1621.6833333333336
65, 1730.0615384615382
70, 1789.5428571428572
75, 1901.0533333333333
80, 1991.8999999999996
85, 2098.7529411764704
90, 2235.3333333333335
95, 2320.021052631579
100, 2391.690000000001
