Array size, Running time
1000, 1267.9500000000003
1500, 1341.5700000000002
2000, 2326.2200000000003
2500, 2656.0600000000004
3000, 2465.3999999999996
3500, 3747.3999999999983
4000, 3826.6199999999994
4500, 3616.8700000000003
5000, 3025.0799999999995
5500, 3512.850000000001
6000, 3157.539999999999
6500, 3754.5500000000006
7000, 4885.62
7500, 4769.87
8000, 5021.219999999999
8500, 5222.889999999998
9000, 5676.520000000002
9500, 6476.929999999998
10000, 6930.250000000001
