Array size, Client time
1000, 0.594
1500, 1.1935
2000, 2.7055
2500, 5.859
3000, 13.585
3500, 13.9645
4000, 25.112
4500, 32.3995
5000, 71.4
5500, 84.255
6000, 123.845
6500, 195.751
7000, 225.597
7500, 184.0665
8000, 279.8375
8500, 380.609
9000, 431.7255
9500, 465.7655
10000, 528.736
