Array size, Server overhead
1000, -1.3730000000000002
1500, -2.7125000000000004
2000, -4.293
2500, -7.3895
3000, -13.0545
3500, -9.2265
4000, -11.8965
4500, -13.308499999999995
5000, -18.886499999999998
5500, -16.51100000000001
6000, -21.33699999999999
6500, -22.472999999999985
7000, -27.676500000000004
7500, -21.447000000000003
8000, -26.44350000000003
8500, -28.740499999999997
9000, -25.989499999999964
9500, -27.44300000000004
10000, -27.45799999999997
