Array size, Query time
1000, 1.967
1500, 3.906
2000, 6.9985
2500, 13.2485
3000, 26.6395
3500, 23.191
4000, 37.0085
4500, 45.708
5000, 90.2865
5500, 100.766
6000, 145.182
6500, 218.224
7000, 253.2735
7500, 205.5135
8000, 306.281
8500, 409.3495
9000, 457.715
9500, 493.2085
10000, 556.194
