Clients amount, Running time
10, 3033.2000000000003
15, 585.2666666666668
20, 1139.1999999999998
25, 2237.4799999999996
30, 2862.1999999999994
35, 2959.485714285714
40, 2080.4249999999997
45, 2842.1777777777775
50, 3008.94
55, 2733.509090909092
60, 2112.666666666667
65, 1902.5846153846155
70, 2302.5714285714294
75, 2272.813333333334
80, 2534.6124999999997
85, 2896.741176470589
90, 2936.2222222222213
95, 3285.4315789473676
100, 3116.340000000001
