Clients amount, Server overhead
10, -0.40000000000000036
15, -1.7266666666666666
20, -0.8674999999999997
25, -1.1260000000000012
30, -1.081666666666667
35, -2.3200000000000003
40, -1.3462500000000013
45, -2.035555555555554
50, -1.7779999999999987
55, -1.3599999999999994
60, -2.720833333333335
65, -3.9015384615384647
70, -3.7950000000000017
75, -3.8273333333333355
80, -4.129374999999996
85, -3.975882352941177
90, -3.4766666666666666
95, -5.0736842105263165
100, -3.807000000000002
