Array size, Query time
1000, 0.866
1500, 1.042
2000, 1.492
2500, 2.246
3000, 2.979
3500, 4.074
4000, 4.91
4500, 6.282
5000, 7.609
5500, 8.914
6000, 10.715
6500, 12.187
7000, 19.235
7500, 21.877
8000, 23.491
8500, 21.743
9000, 28.017
9500, 26.407
10000, 28.486
