Array size, Client time
1000, 0.525
1500, 0.879
2000, 1.331
2500, 2.035
3000, 2.803
3500, 3.835
4000, 4.691
4500, 6.016
5000, 7.114
5500, 8.576
6000, 10.124
6500, 11.805
7000, 13.638
7500, 15.565
8000, 17.54
8500, 19.758
9000, 22.106
9500, 24.448
10000, 27.151
