Delay, Running time
2, 2360.82
7, 2200.1999999999994
12, 2026.7200000000005
17, 2149.48
22, 1673.2399999999998
27, 1730.4
32, 1699.3600000000006
37, 1602.1400000000003
42, 1650.66
47, 1697.8400000000001
52, 1775.1999999999998
57, 1678.6999999999998
62, 2040.22
67, 1851.9799999999996
72, 1508.62
77, 1713.5799999999997
82, 1879.02
87, 1964.6399999999999
92, 1969.9599999999998
97, 2010.0000000000002
