Clients amount, Server overhead
10, -45.14
15, -45.63333333333334
20, -53.764999999999986
25, -66.96400000000001
30, -73.59999999999997
35, -87.72285714285711
40, -106.1575
45, -95.82
50, -110.41000000000003
55, -66.24181818181818
60, -132.80666666666664
65, -127.47076923076924
70, -122.91000000000005
75, -94.42000000000002
80, -91.20874999999998
85, -89.8647058823529
90, -90.59666666666662
95, -98.50105263157891
100, -115.55599999999997
