Clients amount, Query time
10, 57.69
15, 60.56000000000001
20, 73.68499999999999
25, 88.64800000000001
30, 104.13666666666664
35, 123.65714285714283
40, 141.01749999999998
45, 142.26888888888888
50, 149.44800000000004
55, 84.67454545454544
60, 166.2133333333333
65, 175.7876923076923
70, 169.2914285714286
75, 124.128
80, 117.93374999999999
85, 120.71647058823525
90, 124.37333333333329
95, 133.9757894736842
100, 151.5
