Delay, Server overhead
2, -5.799999999999969
7, -6.6872727272727275
12, -5.394545454545465
17, -4.463636363636311
22, -4.378181818181801
27, -4.681818181818187
32, -5.1745454545454805
37, -5.507272727272721
42, -4.909090909090899
47, -4.201818181818197
52, -5.89818181818184
57, -3.6272727272727394
62, -3.969090909090866
67, -4.781818181818203
72, -3.7309090909090514
77, -4.083636363636373
82, -4.747272727272744
87, -4.256363636363659
92, -5.2509090909090474
97, -1.7145454545454584
