Clients amount, Server overhead
10, -0.29499999999999993
15, -0.2599999999999998
20, -0.46499999999999986
25, -0.2419999999999991
30, -0.27333333333333343
35, -0.26428571428571423
40, -0.2837499999999995
45, -0.2866666666666653
50, -0.2779999999999987
55, -0.30545454545454476
60, -0.3366666666666678
65, -0.38769230769230845
70, -0.4364285714285714
75, -0.3866666666666667
80, -0.35062500000000085
85, -0.40941176470588303
90, -0.36944444444444535
95, -0.285263157894736
100, -0.6270000000000007
