Array size, Query time
1000, 46.80499999999998
1500, 48.71099999999999
2000, 55.50899999999999
2500, 57.648999999999994
3000, 56.797999999999995
3500, 61.34399999999999
4000, 64.36699999999996
4500, 71.56400000000001
5000, 76.86300000000001
5500, 83.50499999999997
6000, 88.04599999999996
6500, 99.50699999999999
7000, 106.62100000000005
7500, 122.177
8000, 134.60800000000006
8500, 139.32100000000003
9000, 182.862
9500, 169.358
10000, 183.687
