Array size, Server overhead
1000, -45.964999999999975
1500, -46.120999999999995
2000, -49.657
2500, -48.06599999999999
3000, -42.657999999999994
3500, -40.95399999999998
4000, -39.826999999999956
4500, -38.21299999999999
5000, -37.644000000000005
5500, -34.46299999999996
6000, -34.96699999999995
6500, -32.20899999999999
7000, -32.79900000000009
7500, -36.17899999999996
8000, -30.578000000000074
8500, -33.684
9000, -33.54900000000001
9500, -31.851000000000028
10000, -31.642999999999972
