Delay, Server overhead
2, -3.892000000000003
7, -3.6480000000000103
12, -3.205999999999996
17, -3.172000000000004
22, -2.7900000000000134
27, -3.082000000000022
32, -3.2439999999999856
37, -3.857999999999997
42, -4.640000000000001
47, -3.9980000000000118
52, -3.79399999999999
57, -3.017999999999958
62, -3.4639999999999844
67, -2.808000000000014
72, -4.401999999999987
77, -3.468000000000025
82, -5.0279999999999845
87, -3.568000000000005
92, -3.7460000000000164
97, -3.704000000000022
