Delay, Running time
2, 1353.6800000000003
7, 1458.8400000000001
12, 1416.2000000000005
17, 1476.9999999999998
22, 1505.9800000000005
27, 1573.9799999999998
32, 1558.7599999999998
37, 1552.0600000000004
42, 1718.7599999999998
47, 1749.9599999999998
52, 1766.1
57, 1890.000000000001
62, 1848.44
67, 1940.8799999999999
72, 1886.7200000000005
77, 2014.46
82, 1958.66
87, 2113.8200000000006
92, 2022.3600000000001
97, 2146.34
