Array size, Client time
1000, 1.923
1500, 2.238
2000, 3.765
2500, 14.242
3000, 7.93
3500, 9.515
4000, 13.121
4500, 16.866
5000, 19.124
5500, 24.211
6000, 38.144
6500, 37.197
7000, 52.472
7500, 78.499
8000, 95.576
8500, 169.274
9000, 192.729
9500, 275.561
10000, 348.491
