Array size, Server overhead
1000, -0.5409999999999999
1500, -0.8759999999999999
2000, -0.9259999999999997
2500, -6.007999999999999
3000, -1.1579999999999995
3500, -1.299999999999999
4000, -2.8209999999999997
4500, -2.710000000000001
5000, -1.6430000000000007
5500, -3.6000000000000014
6000, -2.8220000000000027
6500, -7.0
7000, -6.251999999999995
7500, -7.310000000000002
8000, -5.442000000000007
8500, -18.638000000000005
9000, -16.262
9500, -12.328000000000031
10000, -14.879999999999995
