Array size, Running time
1000, 919.1500000000001
1500, 801.4400000000004
2000, 989.4800000000001
2500, 1154.17
3000, 1597.3600000000001
3500, 1731.1300000000003
4000, 2346.0199999999995
4500, 2523.7700000000004
5000, 2971.6400000000003
5500, 3457.1199999999994
6000, 4500.580000000002
6500, 5058.640000000001
7000, 5557.590000000002
7500, 6056.030000000001
8000, 6672.050000000001
8500, 9041.18
9000, 9840.240000000002
9500, 11682.360000000002
10000, 13013.889999999998
