Delay, Server overhead
2, -6.465454545454534
7, -5.300000000000011
12, -5.089090909090906
17, -4.369090909090907
22, -4.212727272727236
27, -3.396363636363631
32, -3.9309090909090685
37, -2.76909090909092
42, -5.12909090909092
47, -4.779999999999987
52, -3.9545454545454533
57, -3.443636363636365
62, -2.8890909090909105
67, -4.8381818181818375
72, -3.296363636363651
77, -4.836363636363615
82, -3.5872727272727474
87, -3.078181818181804
92, -4.136363636363633
97, -2.623636363636386
